humidity,temperature
46.9000015259,23.2999992371
46.7000007629,23.3999996185
46.7000007629,23.3999996185
46.7000007629,23.3999996185
46.7000007629,23.3999996185
46.5999984741,23.2999992371
46.7000007629,23.3999996185
46.7000007629,23.3999996185
46.5999984741,23.3999996185
46.5999984741,23.3999996185
46.5,23.2999992371
46.5,23.2999992371
46.5999984741,23.3999996185
46.5,23.2999992371
46.5999984741,23.3999996185
46.7000007629,23.3999996185
47.2000007629,23.3999996185
47.2999992371,23.3999996185
47.2999992371,23.3999996185
47.4000015259,23.3999996185
47.2999992371,23.2999992371
47.2999992371,23.2999992371
47.2000007629,23.3999996185
47.2000007629,23.3999996185
47.2000007629,23.3999996185
47.0999984741,23.3999996185
47.0999984741,23.3999996185
47.0,23.3999996185
46.9000015259,23.3999996185
46.7999992371,23.3999996185
46.7999992371,23.3999996185
46.7000007629,23.3999996185
46.5,23.3999996185
46.4000015259,23.3999996185
46.2999992371,23.3999996185
46.5,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.2999992371,23.3999996185
46.2000007629,23.3999996185
46.2999992371,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.5999984741,23.3999996185
47.2000007629,23.3999996185
48.0,23.3999996185
52.2000007629,23.3999996185
54.2000007629,23.3999996185
54.5,23.3999996185
55.0999984741,23.5
56.0999984741,23.5
56.4000015259,23.5
57.0,23.6000003815
56.5,23.6000003815
51.5,23.6000003815
49.2000007629,23.7000007629
48.0,23.7000007629
47.5999984741,23.7000007629
47.0,23.7000007629
46.2000007629,23.7000007629
46.0999984741,23.7000007629
46.0999984741,23.7000007629
45.7999992371,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.7000007629,23.7000007629
45.5999984741,23.6000003815
45.7000007629,23.7000007629
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.5999984741,23.6000003815
45.7999992371,23.5
45.9000015259,23.6000003815
45.7999992371,23.5
45.7999992371,23.5
45.7000007629,23.5
45.5999984741,23.5
45.7000007629,23.5
45.7000007629,23.5
45.7999992371,23.5
45.7999992371,23.5
45.7999992371,23.5
45.9000015259,23.5
45.9000015259,23.5
45.9000015259,23.3999996185
45.9000015259,23.3999996185
46.0,23.3999996185
46.0,23.3999996185
46.0,23.3999996185
46.0,23.3999996185
46.0,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.0999984741,23.3999996185
46.0999984741,23.3999996185
46.0999984741,23.3999996185
46.2000007629,23.3999996185
46.0999984741,23.2999992371
46.5,23.2999992371
47.0,23.2999992371
47.2000007629,23.2999992371
47.0,23.2999992371
47.0,23.2999992371
47.2000007629,23.3999996185
46.7000007629,23.3999996185
46.5,23.2999992371
46.5,23.3999996185
46.4000015259,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.2000007629,23.3999996185
46.2000007629,23.3999996185
46.0999984741,23.3999996185
46.0999984741,23.3999996185
46.0,23.2999992371
46.0999984741,23.3999996185
46.7999992371,23.3999996185
46.5,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.2999992371,23.3999996185
46.2999992371,23.3999996185
46.7999992371,23.3999996185
47.9000015259,23.3999996185
47.2000007629,23.3999996185
46.9000015259,23.3999996185
46.5,22.6000003815
46.4000015259,23.3999996185
46.4000015259,23.3999996185
46.2999992371,23.5
47.2999992371,23.5
48.4000015259,23.5
48.5,23.5
48.4000015259,23.5
48.0999984741,23.5
47.7999992371,23.5
47.5999984741,23.5
47.5,23.5
47.5,23.5
47.4000015259,23.6000003815
47.5,23.6000003815
47.2999992371,23.6000003815
47.0999984741,23.6000003815
46.9000015259,23.6000003815
46.7999992371,23.6000003815
46.2999992371,23.6000003815
46.2000007629,23.6000003815
46.0999984741,23.6000003815
46.0,23.6000003815
45.7999992371,23.7000007629
45.9000015259,23.7000007629
46.0999984741,23.7000007629
46.7000007629,23.7000007629
46.2000007629,23.7000007629
46.0999984741,23.7000007629
46.0999984741,23.7000007629
46.0999984741,23.7000007629
46.0999984741,23.7000007629
46.2000007629,23.7000007629
46.2999992371,23.7000007629
46.2999992371,23.7000007629
46.2999992371,23.7000007629
47.0,23.7000007629
46.2999992371,23.7999992371
46.5,23.7999992371
45.9000015259,23.7999992371
45.5999984741,23.7999992371
45.5,23.7999992371
45.5,23.8999996185
45.5,23.8999996185
45.4000015259,23.8999996185
45.2999992371,23.7999992371
45.4000015259,23.8999996185
45.2999992371,23.7999992371
45.4000015259,23.8999996185
45.2999992371,23.8999996185
45.2999992371,23.8999996185
45.2999992371,23.7999992371
45.2000007629,23.7999992371
45.2000007629,23.7999992371
45.2999992371,23.8999996185
45.2999992371,23.7999992371
45.2999992371,23.8999996185
45.2999992371,23.8999996185
45.7000007629,23.8999996185
46.0999984741,23.8999996185
45.7000007629,23.8999996185
46.7000007629,23.8999996185
45.7999992371,23.8999996185
45.5,23.8999996185
45.2999992371,23.8999996185
45.2999992371,23.8999996185
45.2999992371,23.8999996185